texto,emocion
Realmente eres lo mejor que me ha pasado.,enamoramiento
Realmente me haces muy feliz entiendes?,enamoramiento
Realmente contigo todo es mejor...,enamoramiento
Siento que quiero pasar mi vida contigo entiendes?,enamoramiento
Siento que quiero pasar mi vida contigo?,enamoramiento
Ultimamente no imagino mi vida sin ti... aunque se que deberia pensarlo mas.,enamoramiento
Ultimamente contigo todo es mejor.,enamoramiento
Realmente te extrano cuando no estas...,enamoramiento
Ultimamente te extrano cuando no estas entiendes?,enamoramiento
Creo que te amo con todo mi corazon entiendes?,enamoramiento
Realmente contigo todo es mejor entiendes?,enamoramiento
Ultimamente no imagino mi vida sin ti entiendes?,enamoramiento
Realmente eres lo mejor que me ha pasado! y no puedo evitarlo.,enamoramiento
Realmente quiero pasar mi vida contigo?,enamoramiento
A veces te extrano cuando no estas.,enamoramiento
Realmente tu sonrisa ilumina mi dia entiendes? pero tengo miedo de decirtelo.,enamoramiento
A veces quiero pasar mi vida contigo?,enamoramiento
A veces eres mi persona favorita. y no puedo evitarlo.,enamoramiento
Realmente quiero pasar mi vida contigo.,enamoramiento
A veces eres lo mejor que me ha pasado entiendes? a pesar de todo lo que ha pasado.,enamoramiento
Creo que quiero pasar mi vida contigo? y espero que tu tambien lo sientas.,enamoramiento
Ultimamente me haces muy feliz!,enamoramiento
Siento que eres mi persona favorita. y espero que tu tambien lo sientas.,enamoramiento
Creo que no imagino mi vida sin ti.,enamoramiento
Siento que me haces muy feliz?,enamoramiento
Realmente te amo con todo mi corazon! y espero que tu tambien lo sientas.,enamoramiento
Realmente no imagino mi vida sin ti?,enamoramiento
Siento que mi amor por ti crece cada dia. y no puedo evitarlo.,enamoramiento
Siento que eres lo mejor que me ha pasado. a pesar de todo lo que ha pasado.,enamoramiento
Ultimamente eres lo mejor que me ha pasado?,enamoramiento
Ultimamente te amo con todo mi corazon entiendes? pero tengo miedo de decirtelo.,enamoramiento
Ultimamente eres lo mejor que me ha pasado entiendes? aunque se que deberia pensarlo mas.,enamoramiento
A veces te extrano cuando no estas entiendes? pero tengo miedo de decirtelo.,enamoramiento
Siento que te amo con todo mi corazon.,enamoramiento
Ultimamente eres lo mejor que me ha pasado.,enamoramiento
Siento que quiero pasar mi vida contigo...,enamoramiento
Realmente mi amor por ti crece cada dia entiendes? aunque se que deberia pensarlo mas.,enamoramiento
Siento que mi amor por ti crece cada dia!,enamoramiento
Creo que no imagino mi vida sin ti! aunque se que deberia pensarlo mas.,enamoramiento
Creo que tu sonrisa ilumina mi dia.,enamoramiento
Creo que eres mi persona favorita...,enamoramiento
Ultimamente eres lo mejor que me ha pasado... aunque se que deberia pensarlo mas.,enamoramiento
A veces no imagino mi vida sin ti...,enamoramiento
A veces te amo con todo mi corazon... a pesar de todo lo que ha pasado.,enamoramiento
Siento que eres lo mejor que me ha pasado!,enamoramiento
A veces mi amor por ti crece cada dia entiendes?,enamoramiento
Siento que no imagino mi vida sin ti?,enamoramiento
Creo que mi amor por ti crece cada dia!,enamoramiento
Ultimamente contigo todo es mejor?,enamoramiento
Realmente te amo con todo mi corazon...,enamoramiento
Realmente te extrano cuando no estas!,enamoramiento
Creo que eres mi persona favorita!,enamoramiento
Creo que tu sonrisa ilumina mi dia! y no puedo evitarlo.,enamoramiento
Siento que mi amor por ti crece cada dia...,enamoramiento
Realmente eres mi persona favorita... aunque se que deberia pensarlo mas.,enamoramiento
Creo que me haces muy feliz?,enamoramiento
Realmente contigo todo es mejor!,enamoramiento
Ultimamente contigo todo es mejor?,enamoramiento
Creo que eres mi persona favorita!,enamoramiento
Realmente quiero pasar mi vida contigo entiendes? y no puedo evitarlo.,enamoramiento
Realmente te extrano cuando no estas... pero tengo miedo de decirtelo.,enamoramiento
A veces eres mi persona favorita... y no puedo evitarlo.,enamoramiento
Realmente me haces muy feliz entiendes?,enamoramiento
